Title,Core Ability
Giám đốc điều hành,"Hiểu ngôn ngữ Diễn đạt (4.62), Diễn đạt bằng lời (4.5), Đọc hiểu văn bản (4.25), Phát âm rõ ràng (4.25), Suy luận diễn dịch (Logic từ chung đến riêng) (4.12), Diễn đạt bằng văn bản (4.12), Nhận diện giọng Diễn đạt (4.0), Nhạy bén với vấn đề (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Khả năng sắp xếp thông tin (4.0), Lưu loát ý tưởng (3.88), Sự sáng tạo/Tính nguyên bản (3.75), Tầm nhìn gần (3.62), Linh hoạt phân loại (3.5)"
Người quản lý quảng cáo và khuyến mãi,"Diễn đạt bằng lời (4.25), Hiểu ngôn ngữ Diễn đạt (4.0), Đọc hiểu văn bản (4.0), Phát âm rõ ràng (4.0), Nhận diện giọng Diễn đạt (3.88), Suy luận diễn dịch (Logic từ chung đến riêng) (3.88), Diễn đạt bằng văn bản (3.88), Lưu loát ý tưởng (3.75), Sự sáng tạo/Tính nguyên bản (3.75), Tầm nhìn gần (3.75), Nhạy bén với vấn đề (3.62), Suy luận quy nạp (Logic từ riêng đến chung) (3.5)"
Giám đốc tiếp thị,"Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Đọc hiểu văn bản (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (3.88), Diễn đạt bằng văn bản (3.88), Suy luận quy nạp (Logic từ riêng đến chung) (3.75), Phát âm rõ ràng (3.75), Lưu loát ý tưởng (3.75), Nhạy bén với vấn đề (3.62), Nhận diện giọng Diễn đạt (3.62), Sự sáng tạo/Tính nguyên bản (3.62), Tầm nhìn gần (3.5)"
Người quản lý dịch vụ hành chính,"Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Đọc hiểu văn bản (4.0), Diễn đạt bằng văn bản (3.88), Suy luận diễn dịch (Logic từ chung đến riêng) (3.62), Nhận diện giọng Diễn đạt (3.62), Tầm nhìn gần (3.62), Phát âm rõ ràng (3.62), Suy luận quy nạp (Logic từ riêng đến chung) (3.5), Nhạy bén với vấn đề (3.5)"
Quản lý cơ sở vật chất,"Hiểu ngôn ngữ Diễn đạt (3.75), Đọc hiểu văn bản (3.75), Diễn đạt bằng lời (3.75), Nhạy bén với vấn đề (3.75), Khả năng sắp xếp thông tin (3.75), Diễn đạt bằng văn bản (3.62), Nhận diện giọng Diễn đạt (3.62), Suy luận diễn dịch (Logic từ chung đến riêng) (3.62), Suy luận quy nạp (Logic từ riêng đến chung) (3.62), Tầm nhìn gần (3.5), Phát âm rõ ràng (3.5)"
Người quản lý hệ thống thông tin và máy tính,"Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Đọc hiểu văn bản (4.0), Nhạy bén với vấn đề (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Khả năng sắp xếp thông tin (3.75), Diễn đạt bằng văn bản (3.75), Tầm nhìn gần (3.75), Phát âm rõ ràng (3.62)"
Người quản lý tài chính,"Hiểu ngôn ngữ Diễn đạt (4.12), Diễn đạt bằng lời (4.12), Đọc hiểu văn bản (4.12), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Phát âm rõ ràng (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (3.88), Nhạy bén với vấn đề (3.88), Diễn đạt bằng văn bản (3.88), Tầm nhìn gần (3.75), Khả năng sắp xếp thông tin (3.75), Nhận diện giọng Diễn đạt (3.75), Suy luận toán học (3.5), Nhanh nhạy với con số (3.5)"
Quản lý chuỗi cung ứng,"Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Diễn đạt bằng văn bản (4.0), Đọc hiểu văn bản (4.0), Khả năng sắp xếp thông tin (3.88), Nhạy bén với vấn đề (3.88), Suy luận diễn dịch (Logic từ chung đến riêng) (3.88), Suy luận quy nạp (Logic từ riêng đến chung) (3.88), Linh hoạt phân loại (3.75), Phát âm rõ ràng (3.75), Nhận diện giọng Diễn đạt (3.62), Tầm nhìn gần (3.62)"
Quản lý nhân sự,"Diễn đạt bằng lời (4.5), Hiểu ngôn ngữ Diễn đạt (4.38), Đọc hiểu văn bản (4.38), Phát âm rõ ràng (4.12), Diễn đạt bằng văn bản (4.12), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Nhận diện giọng Diễn đạt (4.0), Tầm nhìn gần (4.0), Nhạy bén với vấn đề (3.88), Lưu loát ý tưởng (3.75), Sự sáng tạo/Tính nguyên bản (3.75), Khả năng sắp xếp thông tin (3.62), Tập trung có chọn lọc (3.5)"
Quản lý xây dựng,"Nhạy bén với vấn đề (4.12), Hiểu ngôn ngữ Diễn đạt (4.0), Khả năng sắp xếp thông tin (4.0), Diễn đạt bằng lời (4.0), Đọc hiểu văn bản (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Tầm nhìn gần (3.88), Khả năng hình dung (3.88), Phát âm rõ ràng (3.88), Suy luận quy nạp (Logic từ riêng đến chung) (3.88), Diễn đạt bằng văn bản (3.88), Linh hoạt phân loại (3.75), Nhận diện giọng Diễn đạt (3.75), Linh hoạt nhận dạng (3.62), Tầm nhìn xa (3.62), Suy luận toán học (3.5)"
